edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,Biyu,China,0 3 7 10,4,3,0,5,0.5,50,0.0017361111111111127,0.9166666666666666,0.8888888888888888,0.5939743338946946,1,0,4,6,200,"200,300,400",0.07407407407407411,9,11,1.2222222222222223,4,9,9,9,2,"2,4",6,0.09379482270922904,1,0.2222222222222222,14,0,0,0.875,75,0,2,2,"0,3,5,8",12-297,"0,3,5,8",12-297,"0,6,10,16",24-66625,4 3 3 2,3
12,Xinhua,China,0 4 7 9,4,3,0,5,0.5,50,0.0017361111111111114,0.9166666666666666,0.8888888888888888,0.5939743338946946,1,0,4,6,200,"200,300,400",0.07407407407407411,9,11,1.2222222222222223,4,9,9,9,2,"2,4",6,0.09379482270922904,1,0.2222222222222222,14,0,0,0.875,75,0,2,2,"0,3,5,8",12-297,"0,3,5,8",12-297,"0,6,10,16",24-66625,4 3 3 2,3
12,Pentatonic 1,Western Classical,0 2 4 7 9,5,2,0,5,0.48,48,0.0005555555555555552,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Pentatonic 2,Western Classical,0 2 5 7 9,5,2,0,5,0.48,48,0.0005555555555555553,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Pentatonic 3,Western Classical,0 2 5 7 10,5,2,0,5,0.48,48,0.0005555555555555567,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.18821215770016797,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Pentatonic 4,Western Classical,0 3 5 7 10,5,2,0,5,0.48,48,0.0005555555555555557,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Pentatonic 5,Western Classical,0 3 5 8 10,5,2,0,5,0.48,48,0.0005555555555555551,0.92,0.9166666666666666,0.7318065577501446,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Ryo,Japanese,0 2 4 7 9,5,2,0,5,0.48,48,0.0005555555555555552,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Ritsu,Japanese,0 2 5 7 9,5,2,0,5,0.48,48,0.0005555555555555553,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Minyo,Japanese,0 3 5 7 10,5,2,0,5,0.48,48,0.0005555555555555557,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
